,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
378,2016-12-13,53867.27836575519,2465.666137840516,174855.4146030073,53867.27836575519,53867.27836575519,36938.60137430235,36938.60137430235,36938.60137430235,33.809784825161906,33.809784825161906,33.809784825161906,36904.79158947719,36904.79158947719,36904.79158947719,0.0,0.0,0.0,90805.87974005754
379,2016-12-14,54378.33168642398,8571.590525175605,183207.02502400972,54378.33168642398,54378.33168642398,38670.85852791206,38670.85852791206,38670.85852791206,273.05796731727645,273.05796731727645,273.05796731727645,38397.800560594784,38397.800560594784,38397.800560594784,0.0,0.0,0.0,93049.19021433603
380,2016-12-15,54889.385007092744,8839.22676575058,183979.1710639457,54889.385007092744,54889.385007092744,38488.2352240796,38488.2352240796,38488.2352240796,-938.9798368956075,-938.9798368956075,-938.9798368956075,39427.215060975206,39427.215060975206,39427.215060975206,0.0,0.0,0.0,93377.62023117235
381,2016-12-16,55400.4383277615,8056.04306313869,183647.31993382613,55400.4383277615,55400.4383277615,39839.39548533252,39839.39548533252,39839.39548533252,-170.51436508942018,-170.51436508942018,-170.51436508942018,40009.90985042194,40009.90985042194,40009.90985042194,0.0,0.0,0.0,95239.83381309401
382,2016-12-17,55911.49164843025,8968.252450316044,183627.37545227713,55911.49164843025,55911.49164843025,40962.29029125783,40962.29029125783,40962.29029125783,789.8562366058063,789.8562366058063,789.8562366058063,40172.434054652025,40172.434054652025,40172.434054652025,0.0,0.0,0.0,96873.78193968808
383,2016-12-18,56422.544969099006,10819.329231491396,178077.33214853518,56422.544969099006,56422.544969099006,39145.666246582994,39145.666246582994,39145.666246582994,-804.2575285789169,-804.2575285789169,-804.2575285789169,39949.92377516191,39949.92377516191,39949.92377516191,0.0,0.0,0.0,95568.21121568201
384,2016-12-19,56933.5982897678,10630.92236139737,186689.95116960775,56933.5982897678,56933.5982897678,40201.84129866545,40201.84129866545,40201.84129866545,817.0277418103717,817.0277418103717,817.0277418103717,39384.81355685508,39384.81355685508,39384.81355685508,0.0,0.0,0.0,97135.43958843325
385,2016-12-20,57444.65161043656,7989.4037154160105,192563.96367366708,57444.65161043656,57444.65161043656,38559.19375214366,38559.19375214366,38559.19375214366,33.809784828022494,33.809784828022494,33.809784828022494,38525.38396731565,38525.38396731565,38525.38396731565,0.0,0.0,0.0,96003.84536258022
386,2016-12-21,57955.70493110531,8760.072060510265,186392.9704336957,57955.70493110531,57955.70493110531,37697.24456336389,37697.24456336389,37697.24456336389,273.0579673194725,273.0579673194725,273.0579673194725,37424.18659604442,37424.18659604442,37424.18659604442,0.0,0.0,0.0,95652.94949446921
387,2016-12-22,58466.75825177407,5341.9614620375705,187037.66711772958,58466.75825177407,58466.75825177407,35197.41087580236,35197.41087580236,35197.41087580236,-938.9798368894417,-938.9798368894417,-938.9798368894417,36136.3907126918,36136.3907126918,36136.3907126918,0.0,0.0,0.0,93664.16912757643
388,2016-12-23,58977.81157244283,7123.479629184135,180635.46626682303,58977.81157244283,58977.81157244283,34547.58319078042,34547.58319078042,34547.58319078042,-170.51436508493484,-170.51436508493484,-170.51436508493484,34718.09755586535,34718.09755586535,34718.09755586535,0.0,0.0,0.0,93525.39476322324
389,2016-12-24,59488.86489311162,5213.307503717236,172108.9473204525,59488.86489311162,59488.86489311162,34014.52494906211,34014.52494906211,34014.52494906211,789.8562366025457,789.8562366025457,789.8562366025457,33224.66871245957,33224.66871245957,33224.66871245957,0.0,0.0,0.0,93503.38984217372
390,2016-12-25,59999.91821378034,5612.192205315322,174373.88859259346,59999.91821378034,59999.91821378034,30904.856754957702,30904.856754957702,30904.856754957702,-804.2575285789848,-804.2575285789848,-804.2575285789848,31709.114283536685,31709.114283536685,31709.114283536685,0.0,0.0,0.0,90904.77496873804
391,2016-12-26,60510.97153444913,-1128.6279099552264,178710.49006792094,60510.97153444913,60510.97153444913,31037.61227993714,31037.61227993714,31037.61227993714,817.0277418077623,817.0277418077623,817.0277418077623,30220.58453812938,30220.58453812938,30220.58453812938,0.0,0.0,0.0,91548.58381438626
392,2016-12-27,61022.02485511789,-1937.3560100428033,177050.1767180954,61022.02485511789,61022.02485511789,28836.815373990903,28836.815373990903,28836.815373990903,33.80978482623078,33.80978482623078,33.80978482623078,28803.005589164673,28803.005589164673,28803.005589164673,0.0,0.0,0.0,89858.84022910878
393,2016-12-28,61533.07817578664,9652.424647668366,173356.35821573916,61533.07817578664,61533.07817578664,27766.953341084856,27766.953341084856,27766.953341084856,273.05796731771,273.05796731771,273.05796731771,27493.895373767144,27493.895373767144,27493.895373767144,0.0,0.0,0.0,89300.0315168715
394,2016-12-29,62044.1314964554,3508.2699145753922,172976.92124587856,62044.1314964554,62044.1314964554,25384.41116382036,25384.41116382036,25384.41116382036,-938.9798368931054,-938.9798368931054,-938.9798368931054,26323.39100071347,26323.39100071347,26323.39100071347,0.0,0.0,0.0,87428.54266027577
395,2016-12-30,62555.18481712416,-9578.133808087918,169671.15784112486,62555.18481712416,62555.18481712416,25142.99812055234,25142.99812055234,25142.99812055234,-170.51436508728182,-170.51436508728182,-170.51436508728182,25313.51248563962,25313.51248563962,25313.51248563962,0.0,0.0,0.0,87698.1829376765
396,2016-12-31,63066.23813779295,2482.0096916866905,177310.12440418696,63066.23813779295,63066.23813779295,25267.537430926946,25267.537430926946,25267.537430926946,789.8562366077678,789.8562366077678,789.8562366077678,24477.681194319175,24477.681194319175,24477.681194319175,0.0,0.0,0.0,88333.7755687199
397,2017-01-01,63577.2914584617,-4477.004368369426,174315.3917431045,63577.2914584617,63577.2914584617,23016.246612089817,23016.246612089817,23016.246612089817,-804.2575285775654,-804.2575285775654,-804.2575285775654,23820.504140667384,23820.504140667384,23820.504140667384,0.0,0.0,0.0,86593.53807055153
398,2017-01-02,64088.34477913046,-5865.665161161762,177619.81369985617,64088.34477913046,64088.34477913046,24154.855576055073,24154.855576055073,24154.855576055073,817.0277418083006,817.0277418083006,817.0277418083006,23337.827834246775,23337.827834246775,23337.827834246775,0.0,0.0,0.0,88243.20035518553
399,2017-01-03,64599.39809979921,-167.8763083210958,181640.71110958746,64599.39809979921,64599.39809979921,23050.867631150984,23050.867631150984,23050.867631150984,33.809784824439475,33.809784824439475,33.809784824439475,23017.057846326545,23017.057846326545,23017.057846326545,0.0,0.0,0.0,87650.2657309502
400,2017-01-04,65110.45142046797,48.48021071628389,173850.66859531027,65110.45142046797,65110.45142046797,23110.790835976026,23110.790835976026,23110.790835976026,273.05796731594745,273.05796731594745,273.05796731594745,22837.73286866008,22837.73286866008,22837.73286866008,0.0,0.0,0.0,88221.242256444
401,2017-01-05,65621.50474113676,1194.6989805667888,177373.94756117224,65621.50474113676,65621.50474113676,21833.355140004307,21833.355140004307,21833.355140004307,-938.9798368922185,-938.9798368922185,-938.9798368922185,22772.33497689652,22772.33497689652,22772.33497689652,0.0,0.0,0.0,87454.85988114106
402,2017-01-06,66132.5580618055,-393.1011871226092,179186.02296944725,66132.5580618055,66132.5580618055,22616.796907864744,22616.796907864744,22616.796907864744,-170.51436508769416,-170.51436508769416,-170.51436508769416,22787.311272952436,22787.311272952436,22787.311272952436,0.0,0.0,0.0,88749.35496967024
403,2017-01-07,66651.08786103186,4617.338822473968,180315.74010016574,66651.08786103186,66651.08786103186,23634.132482042867,23634.132482042867,23634.132482042867,789.8562366045071,789.8562366045071,789.8562366045071,22844.27624543836,22844.27624543836,22844.27624543836,0.0,0.0,0.0,90285.22034307473
404,2017-01-08,67169.61766025818,3703.760497984927,175577.39525444922,67169.61766025818,67169.61766025818,22097.101684035064,22097.101684035064,22097.101684035064,-804.2575285804438,-804.2575285804438,-804.2575285804438,22901.35921261551,22901.35921261551,22901.35921261551,0.0,0.0,0.0,89266.71934429325
405,2017-01-09,67688.14745948448,6579.661280603385,183623.3040644957,67688.14745948448,67688.14745948448,23731.684974713757,23731.684974713757,23731.684974713757,817.0277418089157,817.0277418089157,817.0277418089157,22914.65723290484,22914.65723290484,22914.65723290484,0.0,0.0,0.0,91419.83243419824
406,2017-01-10,68206.67725871084,-1625.4965908317179,175534.42407629112,68206.67725871084,68206.67725871084,22873.56077601383,22873.56077601383,22873.56077601383,33.80978482508172,33.80978482508172,33.80978482508172,22839.75099118875,22839.75099118875,22839.75099118875,0.0,0.0,0.0,91080.23803472467
407,2017-01-11,68725.20705793714,1252.0693993893267,175350.69905483283,68725.20705793714,68725.20705793714,22906.297438853417,22906.297438853417,22906.297438853417,273.0579673165571,273.0579673165571,273.0579673165571,22633.239471536857,22633.239471536857,22633.239471536857,0.0,0.0,0.0,91631.50449679056
408,2017-01-12,69243.73685716349,218.0678866670052,177511.36149900363,69243.73685716349,69243.73685716349,21315.268917330974,21315.268917330974,21315.268917330974,-938.9798368962466,-938.9798368962466,-938.9798368962466,22254.248754227217,22254.248754227217,22254.248754227217,0.0,0.0,0.0,90559.00577449446
409,2017-01-13,69762.26665638982,4934.939763290493,172304.95892185008,69762.26665638982,69762.26665638982,21495.356672250145,21495.356672250145,21495.356672250145,-170.51436508810656,-170.51436508810656,-170.51436508810656,21665.871037338253,21665.871037338253,21665.871037338253,0.0,0.0,0.0,91257.62332863997
410,2017-01-14,70280.79645561615,5788.938403617967,184447.28815637698,70280.79645561615,70280.79645561615,21626.348195331215,21626.348195331215,21626.348195331215,789.8562366012467,789.8562366012467,789.8562366012467,20836.491958729966,20836.491958729966,20836.491958729966,0.0,0.0,0.0,91907.14465094736
411,2017-01-15,70799.32625484247,-1569.1505499022562,177894.1861072931,70799.32625484247,70799.32625484247,18936.709899244226,18936.709899244226,18936.709899244226,-804.2575285790242,-804.2575285790242,-804.2575285790242,19740.967427823252,19740.967427823252,19740.967427823252,0.0,0.0,0.0,89736.0361540867
412,2017-01-16,71317.85605406879,11232.444770094071,179852.25804711587,71317.85605406879,71317.85605406879,19178.643121321827,19178.643121321827,19178.643121321827,817.0277418078803,817.0277418078803,817.0277418078803,18361.615379513947,18361.615379513947,18361.615379513947,0.0,0.0,0.0,90496.49917539062
413,2017-01-17,71836.38585329513,2471.708433828546,185221.14427114849,71836.38585329513,71836.38585329513,16722.80280553516,16722.80280553516,16722.80280553516,33.80978482550835,33.80978482550835,33.80978482550835,16688.99302070965,16688.99302070965,16688.99302070965,0.0,0.0,0.0,88559.18865883029
414,2017-01-18,72354.91565252145,-4316.733712208758,169304.10641536082,72354.91565252145,72354.91565252145,14995.494076180275,14995.494076180275,14995.494076180275,273.057967318753,273.057967318753,273.057967318753,14722.43610886152,14722.43610886152,14722.43610886152,0.0,0.0,0.0,87350.40972870172
