,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
494,2017-04-08,113789.93880185578,-77081.21849558971,123838.22558802762,113789.93880185578,113789.93880185578,-86283.02665562606,-86283.02665562606,-86283.02665562606,348.828469314369,348.828469314369,348.828469314369,-86631.85512494043,-86631.85512494043,-86631.85512494043,0.0,0.0,0.0,27506.91214622972
495,2017-04-09,114445.50331101332,-68605.71012626484,115700.5877422681,114445.50331101332,114445.50331101332,-86082.89061965521,-86082.89061965521,-86082.89061965521,-1080.242601226138,-1080.242601226138,-1080.242601226138,-85002.64801842907,-85002.64801842907,-85002.64801842907,0.0,0.0,0.0,28362.61269135811
496,2017-04-10,115101.06782017092,-60374.094962489995,131783.45633356748,115101.06782017092,115101.06782017092,-81854.42727945397,-81854.42727945397,-81854.42727945397,1565.7245070625079,1565.7245070625079,1565.7245070625079,-83420.15178651648,-83420.15178651648,-83420.15178651648,0.0,0.0,0.0,33246.64054071695
497,2017-04-11,115756.63232932855,-60275.861674703214,132856.11937209367,115756.63232932855,115756.63232932855,-80814.42011702264,-80814.42011702264,-80814.42011702264,1068.459092929297,1068.459092929297,1068.459092929297,-81882.87920995195,-81882.87920995195,-81882.87920995195,0.0,0.0,0.0,34942.21221230591
498,2017-04-12,116412.1968384861,-58291.77413742923,131869.81915863804,116412.1968384861,116412.1968384861,-80547.99201746631,-80547.99201746631,-80547.99201746631,-163.67028624085273,-163.67028624085273,-163.67028624085273,-80384.32173122546,-80384.32173122546,-80384.32173122546,0.0,0.0,0.0,35864.20482101978
499,2017-04-13,117067.7613476437,-64363.865182041955,133465.28860652944,117067.7613476437,117067.7613476437,-80229.40983832064,-80229.40983832064,-80229.40983832064,-1315.9441597480852,-1315.9441597480852,-1315.9441597480852,-78913.46567857257,-78913.46567857257,-78913.46567857257,0.0,0.0,0.0,36838.35150932305
500,2017-04-14,117723.32585680133,-59091.372204764884,134391.1086792883,117723.32585680133,117723.32585680133,-77878.59216966579,-77878.59216966579,-77878.59216966579,-423.1550220976187,-423.1550220976187,-423.1550220976187,-77455.43714756818,-77455.43714756818,-77455.43714756818,0.0,0.0,0.0,39844.73368713554
501,2017-04-15,118378.89036595887,-61657.27386326336,144342.1281546281,118378.89036595888,118378.89036595888,-75643.42645723834,-75643.42645723834,-75643.42645723834,348.8284693144586,348.8284693144586,348.8284693144586,-75992.25492655279,-75992.25492655279,-75992.25492655279,0.0,0.0,0.0,42735.46390872053
502,2017-04-16,119034.45487511643,-60171.58648537648,143989.89615793477,119034.45487511644,119034.45487511644,-75583.91071221844,-75583.91071221844,-75583.91071221844,-1080.2426012259555,-1080.2426012259555,-1080.2426012259555,-74503.66811099248,-74503.66811099248,-74503.66811099248,0.0,0.0,0.0,43450.54416289799
503,2017-04-17,119690.0193842741,-50521.91764320062,141994.1765757829,119690.0193842741,119690.0193842741,-71402.328467085,-71402.328467085,-71402.328467085,1565.7245070600304,1565.7245070600304,1565.7245070600304,-72968.05297414502,-72968.05297414502,-72968.05297414502,0.0,0.0,0.0,48287.6909171891
